title,author,original_price,discounted_price,url,image,summary,title_in_specification,author_in_specification,translator_in_specification,editor_in_specification,publisher_in_specification,isbn_in_specification,edition_in_specification,number_of_pages_in_specification,country_in_specification,language_in_specification
স্বনির্বাচিত কবিতা,নাসরীন নঈম,500.00,400.00,https://www.prothoma.com/product/9486/%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%9A%E0%A6%BF%E0%A6%A4-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE-1,https://image.prothoma.com/productThumbs/2021/02/60225411d861f_1612862481.jpg, , , , , , , , , , , 
স্বাধীনতা সংগ্রামে প্রবাসী বাঙালী বাংলাদেশ ১৯৭১,আবদুল মতিন,400.00,320.00,https://www.prothoma.com/product/9488/%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%A7%E0%A7%80%E0%A6%A8%E0%A6%A4%E0%A6%BE-%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A7%87-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%80-%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A6%BE%E0%A6%B2%E0%A7%80-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6-%E0%A7%A7%E0%A7%AF%E0%A7%AD%E0%A7%A7,https://image.prothoma.com/productThumbs/2021/02/60225412a1e94_1612862482.jpg, , , , , , , , , , , 
প্রবাদ-প্রবচন-ধাঁধা ও বিশিষ্টার্থক শব্দের অভিধান,আজহার ইসলাম,400.00,320.00,https://www.prothoma.com/product/9484/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%BE%E0%A6%A6-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%9A%E0%A6%A8-%E0%A6%A7%E0%A6%BE%E0%A6%81%E0%A6%A7%E0%A6%BE-%E0%A6%93-%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%95-%E0%A6%B6%E0%A6%AC%E0%A7%8D%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%A7%E0%A6%BE%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022541136534_1612862481.jpg, , , , , , , , , , , 
পথের সমান দূরে আছি,শ্যামসুন্দর সিকদার,200.00,160.00,https://www.prothoma.com/product/9480/%E0%A6%AA%E0%A6%A5%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%A8-%E0%A6%A6%E0%A7%82%E0%A6%B0%E0%A7%87-%E0%A6%86%E0%A6%9B%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/02/6022541028451_1612862480.jpg, , , , , , , , , , , 
পৃথিবীর ভরকেন্দ্র,সিরাজুল ইমলাম মুনির,150.00,120.00,https://www.prothoma.com/product/9482/%E0%A6%AA%E0%A7%83%E0%A6%A5%E0%A6%BF%E0%A6%AC%E0%A7%80%E0%A6%B0-%E0%A6%AD%E0%A6%B0%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/60225410acd1c_1612862480.jpg, , , , , , , , , , , 
ফিজিক্স কোয়েস্ট,সৌমেন সাহা,325.00,260.00,https://www.prothoma.com/product/9476/%E0%A6%AB%E0%A6%BF%E0%A6%9C%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B8-%E0%A6%95%E0%A7%8B%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F,https://image.prothoma.com/productThumbs/2021/02/6022540f0e34c_1612862479.jpg, , , , , , , , , , , 
Political history and liberation war of bangladesh,ড. মোহাম্মদ হাননান,500.00,400.00,https://www.prothoma.com/product/9478/political-history-and-liberation-war-of-bangladesh,https://image.prothoma.com/productThumbs/2021/02/6022540f9ef7e_1612862479.jpg, , , , , , , , , , , 
অপারেশন সার্চলাইট,সাইদ হাসান দারা,350.00,280.00,https://www.prothoma.com/product/9472/%E0%A6%85%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%87%E0%A6%B6%E0%A6%A8-%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9A%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%9F,https://image.prothoma.com/productThumbs/2021/02/6022540dd7cd3_1612862477.jpg, , , , , , , , , , , 
পালকি,নিশাত ইসলাম,220.00,176.00,https://www.prothoma.com/product/9474/%E0%A6%AA%E0%A6%BE%E0%A6%B2%E0%A6%95%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/02/6022540e6d346_1612862478.jpg, , , , , , , , , , , 
অন্ধকার দিন,ইবরাহীম ওবায়েদ,175.00,140.00,https://www.prothoma.com/product/9470/%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A6%95%E0%A6%BE%E0%A6%B0-%E0%A6%A6%E0%A6%BF%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022540d34bdb_1612862477.jpg, , , , , , , , , , , 
