Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
তুর পাহাড়ের কবিতা,শান্তা ইসলাম সু’আদ,TK. 250,TK. 175,https://rokomari.com//book/199451/tur-paharer-kobita,"",তুর পাহাড়ের কবিতা,শান্তা ইসলাম সু’আদ, , ,অনন্য প্রকাশন,9789849474661,"1st Published,2020",112,বাংলাদেশ,বাংলা
কবি দর্পণ,জেলা কবি সংসদ ঠাকুরগাঁও,TK. 200,TK. 140,https://rokomari.com//book/199453/kobi-dorpon,"",কবি দর্পণ,জেলা কবি সংসদ ঠাকুরগাঁও, , ,অনন্য প্রকাশন,9789849474678,"1st Published,2020",112,বাংলাদেশ,বাংলা
ভুল টিকিটে যাত্রা,মো. জুলফিকার আলী জিল্লুর,TK. 200,TK. 140,https://rokomari.com//book/198326/vul-tickete-jhatra,"",ভুল টিকিটে যাত্রা,মো. জুলফিকার আলী জিল্লুর, , ,অনন্য প্রকাশন,9789849449461,"1st Published,2020",64,বাংলাদেশ,বাংলা
বলেশ্বরী,অলোক মিত্র,TK. 350,TK. 245,https://rokomari.com//book/198327/boleshwri,"",বলেশ্বরী, , ,অলোক মিত্র,অনন্য প্রকাশন,9789849449393,"1st Published,2020",144,বাংলাদেশ,বাংলা
গোধূলির পঙক্তিমালা,সাগর সেন স্নিগ্ধ,TK. 250,TK. 175,https://rokomari.com//book/198328/godholir-pongktimala,"",গোধূলির পঙক্তিমালা, , ,সাগর সেন স্নিগ্ধ,অনন্য প্রকাশন,9789849449423,"1st Published,2020",128,বাংলাদেশ,বাংলা
মুজিব মানে বাংলাদেশ,এস এম রমজান আলী,TK. 250,TK. 175,https://rokomari.com//book/198337/mujib-mane-bangladesh,"",মুজিব মানে বাংলাদেশ,এস এম রমজান আলী, , ,অনন্য প্রকাশন,9789849449492,"1st Published,2020",128,বাংলাদেশ,বাংলা
ভালোবাসার কাব্যমালা,শাকিল আহমেদ,TK. 200,TK. 140,https://rokomari.com//book/198338/valobasar-kabyomala,"",ভালোবাসার কাব্যমালা, , ,শাকিল আহমেদ,অনন্য প্রকাশন,9789849449317,"1st Published,2020",128,বাংলাদেশ,বাংলা
নিশি রাতের কাব্য,সৌরভ মোহাম্মদ,TK. 250,TK. 175,https://rokomari.com//book/198339/nishi-rater-kabyo,"",নিশি রাতের কাব্য, , ,সৌরভ মোহাম্মদ,অনন্য প্রকাশন,9789849449324,"1st Published,2020",128,বাংলাদেশ,বাংলা
আবার একটি যুদ্ধ চাই,মোঃ নজরুল ইসলাম মোল্লা বুলবুল ,TK. 150,TK. 105,https://rokomari.com//book/198347/abar-ekti-juddho-chai,"",আবার একটি যুদ্ধ চাই,মোঃ নজরুল ইসলাম মোল্লা বুলবুল, , ,অনন্য প্রকাশন,9789849449416,"1st Published,2020",48,বাংলাদেশ,বাংলা
চাবি,মোঃ মুছা খান,TK. 150,TK. 105,https://rokomari.com//book/198385/chabi,"",চাবি,মোঃ মুছা খান, , ,অনন্য প্রকাশন,9789849449347,"1st Published,2020",48,বাংলাদেশ,বাংলা
